"","z","(Intercept)","M","N"
"1",1,2.66898345078656,0.039533542166168,0.0319860776605841
"2",2,2.62900331984807,0.0842171219575489,0.0458588242872273
"3",3,2.59365926147271,0.120731580920895,0.054625608984195
"4",4,2.55788810187547,0.158219552504415,0.0567457171461561
"5",5,2.51717778432216,0.201824959011299,0.0586171720469416
"6",6,2.48624152895972,0.238210430866804,0.0624067613425392
"7",7,2.44977091091581,0.277867135767811,0.0623200493200878
"8",8,2.42021764076761,0.303256959618267,0.0639997465718198
"9",9,2.37883927260808,0.34885622303069,0.0665797177878134
"10",10,2.34631159649832,0.382058634523264,0.0703065589770941
"11",11,2.30438093442121,0.422126582458348,0.0720515616339946
"12",12,2.26802497792953,0.46132129920095,0.0706995258926533
"13",13,2.22806624319848,0.505243079656489,0.0719979203376704
"14",14,2.18211942667266,0.543555690875452,0.0735958363187252
"15",15,2.14231908954621,0.585181082961808,0.0751811841889739
"16",16,2.10260141979425,0.624780954640809,0.0781505432482249
"17",17,2.05634190740721,0.67530988566755,0.0808895244329763
"18",18,2.01551282630837,0.719748032552884,0.0850236754442835
"19",19,1.97905141740024,0.750677846199541,0.0840073477856948
"20",20,1.9370983048129,0.794914172333514,0.0850031295188579
"21",21,1.89174233360786,0.839053148835068,0.0867434652139101
"22",22,1.84896688686777,0.875969257556043,0.0876137060826586
"23",23,1.80494382609837,0.914273129193038,0.0888133036391761
"24",24,1.76120798388791,0.956919180010889,0.0909208893661663
"25",25,1.71648789420133,0.99913166278072,0.0923886560541958
"26",26,1.6715478275368,1.03867235350632,0.096811721664374
"27",27,1.6298226259345,1.07656823691163,0.100746913112822
"28",28,1.5897144315633,1.10993499973179,0.101933367997036
"29",29,1.5540070960777,1.14093317933085,0.10280545653103
"30",30,1.5110483091619,1.17919216486334,0.101839120423447
"31",31,1.46825297870176,1.2223750122093,0.106432912266656
"32",32,1.43362080029575,1.24402402116943,0.10905071814409
"33",33,1.40560104361742,1.2600593661293,0.113607780825535
"34",34,1.37056054663917,1.29573524061968,0.113992364988807
"35",35,1.33201383890654,1.33202523919573,0.114392974589576
"36",36,1.30045144806889,1.35548863990881,0.117245000809707
"37",37,1.26403847402591,1.39031674223108,0.118685141298405
"38",38,1.23906665235952,1.42154453665802,0.118134132035674
"39",39,1.22016263184274,1.43415976749613,0.1212806228606
"40",40,1.19672949275188,1.46318047557137,0.122064357229698
"41",41,1.18002713066378,1.47506591658269,0.123633957210004
"42",42,1.15992678118626,1.49356410778467,0.126001096519376
"43",43,1.1494684878934,1.50321732072642,0.126163272693512
"44",44,1.13059158549028,1.51888425029592,0.12695315824957
"45",45,1.11625677372421,1.5332601094513,0.125724186193894
"46",46,1.10370145598994,1.5382461697507,0.128043881117324
"47",47,1.0868260089533,1.5547869031525,0.127421931918847
"48",48,1.07171895703697,1.57318075153334,0.126076878740689
"49",49,1.05598312750456,1.59272276504246,0.124916822876756
"50",50,1.03790064573996,1.60443236743046,0.128822509529806
"51",51,1.02239062023577,1.61601397106338,0.131393308438789
"52",52,1.00599521549906,1.63080199994052,0.130789430817584
"53",53,0.997878298654556,1.63553466333362,0.133729077549389
"54",54,0.998057277598274,1.63339174443753,0.134478289724575
"55",55,0.99111257470663,1.63439599475954,0.136640732810229
"56",56,0.984636814559489,1.64446585613287,0.13583289020383
"57",57,0.977073530973561,1.65250635975805,0.134757144962902
"58",58,0.973901304174989,1.65781715250283,0.132946436432523
"59",59,0.973193456347126,1.6553500099279,0.136523258280559
"60",60,0.968196218987223,1.65740938547609,0.136792348990813
