"","z","(Intercept)","M","N"
"1",1,2.43932893405763,0.0246393943227265,0.0338280239073115
"2",2,2.39569733664103,0.0437662088417728,0.0509664713239484
"3",3,2.35045562147518,0.0808315922878159,0.058136721358916
"4",4,2.30407110892864,0.114821417730331,0.0613854253044883
"5",5,2.25547788305823,0.144395592332828,0.0668685159007606
"6",6,2.20739646182359,0.175934204789311,0.0685429791014345
"7",7,2.1551570640417,0.211686194417489,0.0714093318964178
"8",8,2.10217847850728,0.242601018789461,0.074507162495207
"9",9,2.05341735226236,0.27374163365389,0.0765588092023226
"10",10,1.9982462586946,0.317815774959468,0.0810442807213049
"11",11,1.9413294971032,0.365016230563921,0.0838622401585497
"12",12,1.8805077149089,0.419379147853302,0.0859328127521154
"13",13,1.8171643183364,0.4669403837434,0.0856077833613525
"14",14,1.75660785616955,0.50963829061516,0.089204993912535
"15",15,1.68397143516677,0.571415029615548,0.0948706483842227
"16",16,1.61839236197512,0.625809631693176,0.0971031698255377
"17",17,1.55567394371784,0.672792910704785,0.103967310629281
"18",18,1.49082053625343,0.72000270403931,0.106072564549908
"19",19,1.42212931614463,0.774903685985859,0.111755268703839
"20",20,1.34770940803822,0.840308045801181,0.115795520838923
"21",21,1.27662046518618,0.896601992041647,0.119432775956816
"22",22,1.20788516770179,0.954879575000145,0.124610616055447
"23",23,1.13922971230388,1.00562104604743,0.128747335940557
"24",24,1.06925020165686,1.05420079416115,0.131909611704123
"25",25,1.002569686316,1.10816678089134,0.136082044767567
"26",26,0.95067102082578,1.15164514590841,0.138661890307495
"27",27,0.89066067511511,1.18612565224336,0.144313602773825
"28",28,0.835512455805903,1.22000573471691,0.148784117443985
"29",29,0.78780594652083,1.24815746537568,0.153549850038543
"30",30,0.741295861035454,1.29315640248938,0.155017865535903
"31",31,0.704688248414843,1.30730431070077,0.159771332522892
"32",32,0.670222799678817,1.32823765950624,0.162859066224387
"33",33,0.636707726307517,1.36478082927119,0.164571096543924
"34",34,0.609123358183437,1.38128071033951,0.166187366984295
"35",35,0.594030282617708,1.3800795387059,0.164877662965023
"36",36,0.569219866705376,1.39179341472778,0.168446168187334
"37",37,0.554934133254197,1.39015316505004,0.171030206379242
"38",38,0.543026535521101,1.39766652248496,0.174143073791028
"39",39,0.530802686982818,1.40659807560377,0.175496221542561
"40",40,0.52248334549269,1.40827690044082,0.176778060011083
"41",41,0.518670833407199,1.40731158903581,0.176193832683781
"42",42,0.516709940792844,1.3905171093598,0.175100879770455
"43",43,0.518718607001529,1.38854109308109,0.171233202182062
"44",44,0.518730577715671,1.38866500799156,0.172462759067035
"45",45,0.520564420048501,1.38303058078159,0.171872198616394
"46",46,0.523113562594253,1.38281443246039,0.171819132609139
"47",47,0.523008675257969,1.38400890216631,0.171677118112587
"48",48,0.521522721170085,1.38424063263303,0.172759455025153
"49",49,0.520478412964307,1.38814878114052,0.172364765998962
"50",50,0.52037811830946,1.39163166883066,0.171420119122746
"51",51,0.513511500254092,1.39415199123409,0.177736488062106
"52",52,0.505454149046989,1.40537571429612,0.179865078404176
"53",53,0.505506760080014,1.40880447039954,0.177486684302151
"54",54,0.502249988942473,1.41323411798146,0.179021112109511
"55",55,0.509665848948872,1.38876168542013,0.17731895222183
"56",56,0.508272145822563,1.39570662314203,0.173860520985881
"57",57,0.506630132931423,1.39859319891524,0.173473745858791
"58",58,0.501341812340568,1.39917177677444,0.178609893844087
"59",59,0.499082877414892,1.39932142559624,0.178652147776858
"60",60,0.501003166089874,1.40276780659882,0.174619708748648
"61",61,0.497823516042365,1.40633162488164,0.177545414726785
"62",62,0.491160046537263,1.42026092391031,0.180240890392092
"63",63,0.494005594368063,1.41003600796553,0.180420143438793
"64",64,0.496781090182688,1.40322967916015,0.18171590621717
"65",65,0.498223033798688,1.39538749038411,0.18057411562137
"66",66,0.496642462746713,1.39793838201236,0.177031249190528
"67",67,0.493651535309395,1.40347754706521,0.176842701853043
"68",68,0.492940067503642,1.40670268441924,0.175637140513129
"69",69,0.494026780564933,1.40603532985569,0.178698907381913
"70",70,0.496004742228939,1.40676253741774,0.178510624278635
"71",71,0.489941302999059,1.42307354023548,0.179305243672749
"72",72,0.48973414852647,1.42380097759553,0.179664615577318
"73",73,0.490679569387255,1.416144314138,0.177372215727271
"74",74,0.487279757306611,1.42182294982012,0.180804078400335
"75",75,0.48751841885839,1.41777039247589,0.18093569577314
"76",76,0.490872676940454,1.41386043977831,0.180996159252778
"77",77,0.493273283189262,1.41731071517942,0.179974837085397
"78",78,0.494644963908687,1.40907739732619,0.181978370833331
"79",79,0.496830230432269,1.40736310590317,0.177951202730377
"80",80,0.499364019615539,1.40797497959265,0.177790933902748
"81",81,0.495245490094068,1.42013851835978,0.179897980553975
"82",82,0.500506504335852,1.41784308648281,0.179266853678031
"83",83,0.501567217483623,1.41564794490683,0.178156333751052
"84",84,0.506900813656426,1.40361537213591,0.176838889872015
"85",85,0.497073477625602,1.42082269504486,0.179550861230533
"86",86,0.497012197911234,1.42293212447036,0.177471837099201
"87",87,0.499866734342121,1.41096439252079,0.176887984489732
"88",88,0.497080428395799,1.4104228847938,0.180770731824218
"89",89,0.503318658372133,1.40065189507557,0.178090843448794
"90",90,0.50131578924281,1.40460635780904,0.179943733777309
"91",91,0.498121898119744,1.4136229103948,0.179410211783413
"92",92,0.499517496129683,1.4060544775513,0.180847687191621
"93",93,0.502119750521395,1.4017956146548,0.178532124886763
"94",94,0.500398953350105,1.40404908759515,0.180659692264495
"95",95,0.498256842840986,1.41184047355431,0.179361101641994
"96",96,0.494909688424855,1.41208380816175,0.180980099962535
"97",97,0.498900792988547,1.40483414056651,0.179431403101594
"98",98,0.496567120378736,1.41140006249907,0.180140798925555
"99",99,0.495085480594905,1.41720252174395,0.179480175406387
"100",100,0.500600127905953,1.40277211469295,0.179265583557671
"101",101,0.499989954047895,1.40186982354827,0.177618443758353
"102",102,0.496057882282518,1.40718231138888,0.179658488130308
"103",103,0.495484001783848,1.4069482823245,0.178910280469015
"104",104,0.496493095804885,1.40461027241592,0.180008459654344
"105",105,0.496603087538567,1.40113998106745,0.179899358809935
"106",106,0.496697157154088,1.40492134528723,0.176619912214904
"107",107,0.495115824561054,1.40481316484962,0.179542809375054
"108",108,0.493623855785376,1.40820940437058,0.180205272160139
"109",109,0.490966121378266,1.41427747454892,0.181292843978918
"110",110,0.495014192076643,1.40299066732154,0.178514099660618
"111",111,0.496744010407994,1.40354927873884,0.182274639270859
"112",112,0.500367323825146,1.38754334716962,0.179705303661494
"113",113,0.49942411635685,1.38686863686818,0.176788716117568
"114",114,0.496139575774064,1.39664753544797,0.176576520153766
"115",115,0.496998577203098,1.39098256484772,0.175926357214165
"116",116,0.494050779991896,1.4029943879066,0.176395348878063
"117",117,0.492521092056323,1.4064272099955,0.174977903855791
"118",118,0.494391985932933,1.4115995431553,0.176617878364852
"119",119,0.496167714681017,1.40534385755944,0.178546997095669
"120",120,0.497149941567655,1.39972437085335,0.179229757590475
"121",121,0.500665673273821,1.3964903335415,0.174490936445865
"122",122,0.505908203778918,1.38962568526678,0.17374450179263
"123",123,0.508164977459659,1.39004763745149,0.174289402491936
"124",124,0.508861155457846,1.39067604632835,0.175059753612123
"125",125,0.506135171199734,1.39944998314788,0.173315645298142
"126",126,0.50570344870127,1.39047901099463,0.178450764405826
"127",127,0.506878173792909,1.38596102520468,0.174652030840471
"128",128,0.506940365808207,1.38225121919588,0.175815107027014
"129",129,0.503684797994746,1.38459074576971,0.179479034315535
"130",130,0.505150522153501,1.3903297048921,0.175428626230332
"131",131,0.50372131180713,1.39702676485889,0.17387427016796
"132",132,0.505499460282716,1.39468548594449,0.173927368121398
"133",133,0.509378210564713,1.38992756293436,0.173113677806676
"134",134,0.508899293780987,1.39345906878273,0.174890503947446
"135",135,0.509807445158876,1.39603763075981,0.173011573440059
"136",136,0.509527516624357,1.39493557265009,0.17429454908615
"137",137,0.508579109805903,1.40311539802456,0.172753213183803
"138",138,0.502857168491359,1.40646568886706,0.178538110456373
"139",139,0.497624123347081,1.40806602311759,0.180087401513658
"140",140,0.493237748819645,1.42111430588468,0.178975038855794
"141",141,0.499043891765102,1.41252959158709,0.178545478143965
"142",142,0.497033204029422,1.41127065304498,0.179303836776406
"143",143,0.488862376653894,1.42709411010686,0.180049188812759
"144",144,0.490923421492015,1.43044340210461,0.17610449110077
"145",145,0.495637159167718,1.41818328862427,0.17558476605698
"146",146,0.502696429843895,1.40441970564492,0.175341385366253
"147",147,0.499684587489007,1.41172332176302,0.17885472211112
"148",148,0.499314222517488,1.41656658268147,0.179458184706244
"149",149,0.500532543776253,1.4107005486484,0.179328021166059
"150",150,0.494023548514627,1.42238593228539,0.179667473008436
"151",151,0.497978938902442,1.41954353030502,0.178642738708648
"152",152,0.503863495868559,1.40275613842614,0.177838890319273
"153",153,0.499340881448143,1.41187782719473,0.17960322924396
"154",154,0.49788079393908,1.41197650110957,0.179861585670281
"155",155,0.494741504519563,1.41974225170558,0.180717614520356
"156",156,0.497620187264668,1.41317095501729,0.177834089537232
"157",157,0.501673995363204,1.4058039789466,0.17869811082377
"158",158,0.499399375266678,1.40748347147703,0.179427808667521
"159",159,0.496296427048255,1.41593983840795,0.179976761950768
"160",160,0.499229854288419,1.41330976567621,0.176679156949325
"161",161,0.493352391557344,1.42827674228467,0.179601730559953
"162",162,0.493962010912185,1.43517772319093,0.177267185773303
"163",163,0.498488805513544,1.42122631267403,0.176468826444285
"164",164,0.503212607777197,1.40169440936815,0.176157853701201
"165",165,0.497577580926228,1.4089843502475,0.180236986241678
"166",166,0.490310975136099,1.424706802966,0.180455833233424
"167",167,0.49623284295909,1.4137021573018,0.178671969682588
"168",168,0.490654790728873,1.42061114429752,0.179212319098425
"169",169,0.494166891083594,1.41326401196896,0.178676209177129
"170",170,0.490725139272689,1.41871760897499,0.178840785770158
"171",171,0.49134108677195,1.42215071577574,0.177705071921714
"172",172,0.497594765070369,1.41326004110721,0.174016769835669
"173",173,0.495182955343401,1.41485655385226,0.179940597687669
"174",174,0.495647079279318,1.41109499428775,0.178239607580197
"175",175,0.493831533410942,1.42495440224044,0.177423272157588
"176",176,0.501398869642953,1.40850994030656,0.174773226326557
"177",177,0.498792004989148,1.40511878021606,0.179514998629881
"178",178,0.496016729076612,1.4102203192852,0.180256943155715
"179",179,0.490010215102223,1.4194030247349,0.180351632666555
"180",180,0.495278952964413,1.40565778113332,0.179680086527076
"181",181,0.493616135800303,1.40998985245909,0.179744750700324
"182",182,0.490753252806166,1.41707075504471,0.179716119603188
"183",183,0.490015199572946,1.40917766494813,0.179301172484227
"184",184,0.492607764820038,1.40586452874279,0.179979280347361
"185",185,0.491696872829666,1.40803423232791,0.179829219110701
"186",186,0.488529792630657,1.41840749809007,0.180314222172379
"187",187,0.488570824942941,1.41649465599811,0.183118421783273
"188",188,0.489750341603521,1.41111552476982,0.180410851518087
"189",189,0.488799255016918,1.41717721992273,0.178888677422562
"190",190,0.486015618604825,1.42592287141056,0.179172175195253
"191",191,0.494694954617215,1.40566342281066,0.179007417241321
"192",192,0.493393649597223,1.41077872730555,0.180143781028959
"193",193,0.490309485593907,1.41511764050245,0.180946119672119
"194",194,0.486278832135932,1.42637926729277,0.179030219510607
"195",195,0.497705791681985,1.40627382620456,0.177618189830472
"196",196,0.495181458571707,1.40717890320154,0.180803721713439
"197",197,0.49287276634302,1.41186401307516,0.17921739538911
"198",198,0.491267220180785,1.42045979308987,0.177368854241656
"199",199,0.494865410976711,1.40758755167684,0.177104394176066
"200",200,0.495862090899964,1.40637769231533,0.18050615840059
"201",201,0.496472220226618,1.40740914123302,0.179039361997498
"202",202,0.493322992040939,1.41891701452379,0.177797979988163
"203",203,0.492949709447329,1.42119342302079,0.176650145759584
"204",204,0.492462151724135,1.41701244811016,0.178140791210295
"205",205,0.487371465079907,1.4237503647763,0.178758075026039
