"Package","Version","Built"
"abind","1.4-8","4.5.0"
"colorspace","2.1-1","4.5.1"
"corrplot","0.95","4.5.0"
"cowplot","1.1.3","4.5.0"
"data.table","1.17.6","4.5.0"
"dplyr","1.1.4","4.5.0"
"fitdistrplus","1.2-4","4.5.1"
"forecast","8.24.0","4.5.1"
"gam","1.22-5","4.5.1"
"ggdendro","0.2.0","4.5.1"
"ggplot2","3.5.2","4.5.0"
"ggpubr","0.6.1","4.5.1"
"ggspatial","1.1.9","4.5.1"
"glmmLasso","1.6.3","4.5.1"
"glmnet","4.1-9","4.5.1"
"gridExtra","2.3","4.5.0"
"gtable","0.3.6","4.5.0"
"gtools","3.9.5","4.5.1"
"Hmisc","5.2-3","4.5.1"
"ISLR","1.4","4.5.1"
"kableExtra","1.4.0","4.5.1"
"leaflet","2.2.2","4.5.1"
"lme4","1.1-37","4.5.0"
"lubridate","1.9.4","4.5.0"
"mefa","3.2-9","4.5.1"
"miceadds","3.17-44","4.5.1"
"MLmetrics","1.1.3","4.5.1"
"plotmo","3.6.4","4.5.1"
"plyr","1.8.9","4.5.0"
"psych","2.5.6","4.5.1"
"quadprog","1.5-8","4.5.0"
"RColorBrewer","1.1-3","4.5.0"
"RCurl","1.98-1.17","4.5.0"
"readr","2.1.5","4.5.0"
"readxl","1.4.5","4.5.0"
"Rmisc","1.5.1","4.5.1"
"rnaturalearth","1.0.1","4.5.1"
"rnaturalearthdata","1.0.0","4.5.1"
"scales","1.4.0","4.5.0"
"sf","1.0-21","4.5.0"
"shapefiles","0.7.2","4.5.0"
"skellam","0.2.4","4.5.1"
"sp","2.2-0","4.5.1"
"sqldf","0.4-11","4.5.1"
"terra","1.8-54","4.5.1"
"tidyverse","2.0.0","4.5.0"
"VGAM","1.1-13","4.5.1"
"zoo","1.8-14","4.5.1"
"cluster","2.1.8.1","4.5.1"
"mgcv","1.9-3","4.5.1"
"splines","4.5.1","4.5.1"
